name,online_order,book_table,rate,votes,location,rest_type,cost_for_two_people
Jalsa,True,True,4.1,775,Banashankari,Casual Dining,800
Spice Elephant,True,False,4.1,787,Banashankari,Casual Dining,800
San Churro Cafe,True,False,3.8,918,Banashankari,"Cafe, Casual Dining",800
Addhuri Udupi Bhojana,False,False,3.7,88,Banashankari,Quick Bites,300
Grand Village,False,False,3.8,166,Basavanagudi,Casual Dining,600
Timepass Dinner,True,False,3.8,286,Basavanagudi,Casual Dining,600
Rosewood International Hotel - Bar & Restaurant,False,False,3.6,8,Mysore Road,Casual Dining,800
Onesta,True,True,4.6,2556,Banashankari,"Casual Dining, Cafe",600
Penthouse Cafe,True,False,4.0,324,Banashankari,Cafe,700
Smacznego,True,False,4.2,504,Banashankari,Cafe,550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,True,False,4.1,402,Banashankari,Cafe,500
Cafe Shuffle,True,True,4.2,150,Banashankari,Cafe,600
The Coffee Shack,True,True,4.2,164,Banashankari,Cafe,500
Caf-Eleven,False,False,4.0,424,Banashankari,Cafe,450
San Churro Cafe,True,False,3.8,918,Banashankari,"Cafe, Casual Dining",800
Cafe Vivacity,True,False,3.8,90,Banashankari,Cafe,650
Catch-up-ino,True,False,3.9,133,Banashankari,Cafe,800
Kirthi's Biryani,True,False,3.8,144,Banashankari,Cafe,700
T3H Cafe,False,False,3.9,93,Banashankari,Cafe,300
360 Atoms Restaurant And Cafe,True,False,3.1,13,Banashankari,Cafe,400
The Vintage Cafe,True,False,3.0,62,Banashankari,Cafe,400
Woodee Pizza,True,False,3.7,180,Banashankari,Cafe,500
Cafe Coffee Day,False,False,3.6,28,Banashankari,Cafe,900
My Tea House,True,False,3.6,62,Banashankari,"Quick Bites, Cafe",600
Hide Out Cafe,False,False,3.7,31,Banashankari,Cafe,300
CAFE NOVA,False,False,3.2,11,Banashankari,Cafe,600
Coffee Tindi,True,False,3.8,75,Banashankari,"Cafe, Quick Bites",200
Sea Green Cafe,False,False,3.3,4,Banashankari,Cafe,500
Cuppa,False,False,3.3,23,Banashankari,Cafe,550
Srinathji's Cafe,False,False,3.8,148,Basavanagudi,"Casual Dining, Cafe",550
Redberrys,True,False,4.0,219,Basavanagudi,Cafe,600
Foodiction,True,False,2.8,506,Banashankari,Quick Bites,500
Sweet Truth,True,False,3.9,35,Banashankari,Delivery,500
Ovenstory Pizza,True,False,3.9,172,Banashankari,Delivery,750
Faasos,True,False,4.2,415,Banashankari,Quick Bites,500
Behrouz Biryani,True,False,3.9,230,Banashankari,Delivery,650
Fast And Fresh,True,False,2.8,91,Banashankari,Quick Bites,400
Szechuan Dragon,True,False,4.2,1647,Banashankari,Casual Dining,600
Empire Restaurant,True,False,4.4,4884,Jayanagar,Casual Dining,750
Maruthi Davangere Benne Dosa,True,False,4.0,17,Banashankari,Quick Bites,150
Chaatimes,True,False,3.8,133,Basavanagudi,Quick Bites,200
Havyaka Mess,False,False,3.9,28,Banashankari,Mess,300
McDonald's,True,False,3.9,286,Banashankari,Quick Bites,500
Domino's Pizza,True,False,3.9,540,Banashankari,Quick Bites,800
Onesta,True,True,4.6,2556,Banashankari,"Casual Dining, Cafe",600
Hotboxit,False,False,3.8,36,Banashankari,Delivery,400
Kitchen Garden,True,False,3.6,244,Kumaraswamy Layout,Quick Bites,300
Recipe,True,False,4.0,804,Kumaraswamy Layout,Casual Dining,450
Beijing Bites,True,False,3.7,679,Rajarajeshwari Nagar,Casual Dining,850
Tasty Bytes,True,False,3.1,245,Kumaraswamy Layout,Quick Bites,300
Petoo,False,False,3.7,21,Banashankari,Quick Bites,450
Shree Cool Point,True,False,4.1,28,Vijay Nagar,Quick Bites,150
Corner House Ice Cream,False,False,4.3,345,Banashankari,Dessert Parlor,400
Biryanis And More,True,False,4.0,618,Jayanagar,Casual Dining,750
Roving Feast,False,False,4.0,1047,Banashankari,Quick Bites,450
FreshMenu,True,False,3.9,627,Banashankari,Delivery,450
Banashankari Donne Biriyani,True,False,3.8,104,Banashankari,Quick Bites,300
Wamama,True,True,4.2,354,Banashankari,Casual Dining,800
Five Star Chicken,False,False,3.6,55,Banashankari,Quick Bites,200
XO Belgian Waffle,True,False,3.7,17,Banashankari,Dessert Parlor,400
Peppy Peppers,False,False,4.2,244,Banashankari,Casual Dining,800
Goa 0 Km,True,True,3.6,163,Kumaraswamy Layout,Casual Dining,800
Chinese Kitchen,True,False,3.8,58,Basavanagudi,Quick Bites,150
1947,False,True,4.0,808,Banashankari,Casual Dining,850
Cake of the Day,False,False,3.7,78,Banashankari,"Bakery, Dessert Parlor",150
Kabab Magic,True,False,4.1,1720,Basavanagudi,Quick Bites,400
Namma Brahmin's Idli,True,False,3.6,34,Jayanagar,Quick Bites,100
Gustoes Beer House,False,False,4.1,868,Banashankari,Pub,1200
Sugar Rush,False,False,3.8,39,Banashankari,Bakery,300
Burger King,True,False,3.2,71,Basavanagudi,Quick Bites,600
The Good Bowl,True,False,3.6,6,Banashankari,"Takeaway, Delivery",500
The Biryani Cafe,False,False,4.1,520,Banashankari,Quick Bites,300
LSD Cafe,False,False,2.9,84,Banashankari,Delivery,700
Rolls On Wheels,False,False,3.6,299,Banashankari,Quick Bites,300
Sri Guru Kottureshwara Davangere Benne Dosa,True,False,4.1,558,Basavanagudi,Quick Bites,150
Devanna Dum Biriyani Centre,True,False,3.6,28,Banashankari,Quick Bites,300
Kolbeh,False,False,3.7,22,Banashankari,Quick Bites,500
Upahar Sagar,False,False,3.8,39,Banashankari,Quick Bites,350
Kadalu Sea Food Restaurant,True,False,3.8,153,Vijay Nagar,Fine Dining,500
Frozen Bottle,True,False,4.2,146,Banashankari,Beverage Shop,400
Parimala Sweets,False,False,3.0,14,Banashankari,Sweet Shop,200
Vaishali Deluxe,False,False,3.8,42,Banashankari,Casual Dining,700
The Big O Bakes,False,False,4.0,66,Banashankari,Bakery,300
Meghana Foods,True,False,4.4,4401,Jayanagar,Casual Dining,600
Krishna Sagar,False,False,3.0,31,Banashankari,Quick Bites,200
Dessert Rose,False,False,3.0,7,Banashankari,Dessert Parlor,500
Chickpet Donne Biryani House,False,False,3.7,21,Banashankari,Quick Bites,250
Thanco's Natural Ice Creams,False,False,3.2,9,Banashankari,Dessert Parlor,300
Nandhini Deluxe,False,False,2.6,283,Banashankari,Casual Dining,600
Vi Ra's Bar and Restaurant,False,False,3.3,62,Banashankari,Bar,800
Kaggis,False,False,3.8,64,Banashankari,Quick Bites,250
Ayda Persian Kitchen,False,False,3.7,39,Banashankari,Casual Dining,950
Chatar Patar,False,False,3.7,65,Banashankari,Quick Bites,300
Polar Bear,True,False,3.8,71,Basavanagudi,Dessert Parlor,400
Kidambi's Kitchen,False,False,3.0,52,Banashankari,Quick Bites,300
Mane Thindi,False,False,3.7,130,Banashankari,Quick Bites,200
Kotian Karavali Restaurant,False,False,3.0,10,Banashankari,Quick Bites,300
Floured-Baked With Love,False,False,3.8,45,Banashankari,"Takeaway, Delivery",400
CAFE NOVA,False,False,3.2,11,Banashankari,Cafe,600
Cakes & Slices,False,False,3.0,13,Banashankari,Bakery,300
Spice 9,False,False,3.4,8,Banashankari,Quick Bites,300
Naveen Kabab & Biriyani Mane,False,False,3.2,9,Banashankari,Quick Bites,300
Katriguppe Donne Biryani,False,False,3.2,4,Banashankari,Quick Bites,300
Atithi Point Ande Ka Funda,False,False,3.1,29,Banashankari,Quick Bites,150
Just Bake,False,False,3.4,8,Banashankari,Bakery,400
K27 - The Pub,False,False,3.1,30,Banashankari,Bar,1000
Bengaluru Coffee House,True,False,4.1,201,Banashankari,Quick Bites,300
New Mangalore Lunch Home,False,False,3.3,7,Banashankari,Quick Bites,200
Coffee Bytes,False,False,3.1,6,Banashankari,Quick Bites,100
Parjanya Chat Zone,False,False,3.3,17,Banashankari,Quick Bites,200
Kwality Wall's Swirl's Happiness Station,False,False,2.9,25,Banashankari,Dessert Parlor,200
Ruchi Maayaka,False,False,3.3,8,Banashankari,Delivery,100
Anna Kuteera,True,False,4.0,771,Banashankari,Casual Dining,450
Darbar,False,False,3.0,98,Banashankari,Bar,800
Vijayalakshmi,True,False,3.9,47,Basavanagudi,Quick Bites,200
Sri Udupi Food Hub,True,True,4.1,175,Jayanagar,Casual Dining,500
Udupi Upahar,True,False,3.8,58,Banashankari,Quick Bites,300
House Of Kebabs,True,False,3.8,540,Basavanagudi,Casual Dining,650
Roll N Rock,True,False,3.8,124,Kumaraswamy Layout,Quick Bites,400
BOX8- Desi Meals,True,False,4.1,340,Banashankari,"Takeaway, Delivery",500
KFC,True,False,3.8,505,Banashankari,Quick Bites,450
Roll Over,True,False,4.1,438,Jayanagar,Dessert Parlor,500
Imperial Restaurant,True,False,3.7,264,Mysore Road,Casual Dining,750
Lassi Shop,True,False,3.9,169,Kumaraswamy Layout,Beverage Shop,150
The Fortuna,True,False,3.0,67,Kumaraswamy Layout,Quick Bites,250
Wahab,True,False,3.7,97,Jayanagar,Quick Bites,350
Al Diwan Biryanis And More,True,False,3.3,12,Basavanagudi,"Takeaway, Delivery",300
New Gowda's Fried Chicken,True,False,3.3,12,Banashankari,Quick Bites,300
Canton,True,False,3.6,195,Jayanagar,Casual Dining,800
Diabetics Dezire Sugarless Sweets and Bakes,True,False,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",300
The Blue Wagon - Kitchen,True,False,4.6,228,Jayanagar,Cafe,400
HOT COFFEE,True,False,4.1,70,Basavanagudi,Quick Bites,150
Patio 805,True,True,4.1,364,Jayanagar,Casual Dining,1200
Lassi Corner,True,False,3.7,107,Basavanagudi,Beverage Shop,150
Sagar Deluxe,True,False,3.2,167,Kumaraswamy Layout,Quick Bites,300
Kanti Sweets,True,False,4.0,115,Banashankari,Sweet Shop,400
Vegetalia,True,False,3.7,27,Banashankari,"Takeaway, Delivery",400
Aramane Donne Biryani,True,False,3.0,57,Banashankari,Quick Bites,200
Ande Ka Funda,True,False,3.8,120,Banashankari,Quick Bites,250
Cake Ghar,True,False,3.8,15,Basavanagudi,Bakery,400
Energy Addaa,True,False,4.2,64,Basavanagudi,Quick Bites,500
Bhattara Bhojana,True,False,3.6,66,Banashankari,Quick Bites,150
Tandoori Knight,True,False,3.0,290,Banashankari,Quick Bites,450
Dev Sagar - Food Street,True,False,4.1,233,Basavanagudi,Quick Bites,200
Mitraa Da Pizza,True,False,3.8,115,Kumaraswamy Layout,Quick Bites,250
Paradise Premium,True,False,3.1,119,Banashankari,Casual Dining,700
Grazers,True,True,3.9,291,Jayanagar,Cafe,650
Shakes Theory,True,False,4.0,155,Jayanagar,Beverage Shop,300
@Italy,True,False,4.1,305,Kumaraswamy Layout,Casual Dining,700
Chilli Flakes,True,False,3.6,46,Banashankari,Quick Bites,500
Calcutta Cafe,True,False,3.0,45,Kumaraswamy Layout,Quick Bites,350
Old Mumbai Ice Cream,True,False,3.9,38,Banashankari,Dessert Parlor,150
Donne Biriyani House,True,False,3.9,441,Banashankari,Quick Bites,400
By 2 Coffee,True,False,3.9,25,Basavanagudi,Quick Bites,100
Kedia's Fun Food,True,False,4.3,630,Jayanagar,Quick Bites,200
Davangere Butter Dosa Hotel,True,False,3.8,25,Kumaraswamy Layout,Quick Bites,150
Just Shawarma,True,False,3.9,160,Kumaraswamy Layout,Quick Bites,300
Mini Punjabi Dhaba,True,False,4.2,287,Banashankari,Quick Bites,350
Mulabagilu Dosa,True,False,3.6,11,Basavanagudi,Quick Bites,100
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,True,False,4.1,402,Banashankari,Cafe,500
Gokul Veg,True,False,3.8,469,Basavanagudi,Casual Dining,750
Olive - Era,True,False,3.3,511,Kumaraswamy Layout,Casual Dining,550
Udupi Ruchi,True,False,3.9,57,Banashankari,Quick Bites,200
Madhappa Hindu Military Hotel,True,False,3.4,14,Banashankari,Quick Bites,300
Gama Gama,True,False,3.9,264,Banashankari,Quick Bites,200
The Vintage Cafe,True,False,3.0,62,Banashankari,Cafe,400
Pizza Hut,True,False,3.8,693,Banashankari,Casual Dining,750
Mangalore Pearl,True,False,3.8,242,Jayanagar,Casual Dining,650
Asha Sweets Centre,True,False,3.6,27,Basavanagudi,Dessert Parlor,250
Twiststick House,True,False,4.1,163,Basavanagudi,Quick Bites,500
Cool Corner,True,False,4.2,191,Basavanagudi,Quick Bites,250
Pizza Mane,True,False,3.0,32,Banashankari,Quick Bites,150
Dal Tadkaa,True,False,2.0,247,Banashankari,Casual Dining,500
Chutney Chang,True,True,4.1,2339,Jayanagar,Casual Dining,1500
Mystique Palate,True,False,4.1,337,Jayanagar,Quick Bites,300
Thamboola,True,False,3.9,135,Banashankari,Casual Dining,800
Castle Rock,True,False,3.6,172,Uttarahalli,Casual Dining,700
Vietnamese Kitchen,True,False,3.6,105,Banashankari,Casual Dining,700
Smacznego,True,False,4.2,504,Banashankari,Cafe,550
C Corner,True,False,3.2,36,Kumaraswamy Layout,Quick Bites,200
Paratha Merchant,True,False,3.1,39,Kumaraswamy Layout,Quick Bites,300
North Rasoe,True,False,3.1,5,Kumaraswamy Layout,Casual Dining,500
Toscano,True,True,4.3,1129,Jayanagar,Casual Dining,1300
Lord Of The Kitchen,True,False,3.9,56,Kumaraswamy Layout,Quick Bites,350
Stoned Monkey,True,False,4.3,860,Banashankari,Dessert Parlor,500
Central Jail Restaurant,True,False,3.8,412,Jayanagar,Casual Dining,700
Bella,True,True,3.9,142,Jayanagar,Casual Dining,1000
Vennela Andhra Meals,True,False,3.0,23,Jayanagar,Quick Bites,400
New Prashanth Hotel,True,False,3.6,143,Jayanagar,Casual Dining,750
The Grillo,True,True,2.8,80,Jayanagar,Casual Dining,500
Re Malnad Nati Style Hotel,True,False,3.6,16,JP Nagar,Casual Dining,400
Karma Kaapi,True,False,4.4,181,Jayanagar,Beverage Shop,250
Tiwari's,True,False,3.8,70,Jayanagar,Quick Bites,200
Pizza Stop,True,False,3.8,164,Basavanagudi,Quick Bites,600
Biggies Burger 'n' More,True,False,3.6,58,Kumaraswamy Layout,Quick Bites,650
Srinathji's Cafe,False,False,3.8,148,Basavanagudi,"Casual Dining, Cafe",550
Kollapuri's,False,False,3.9,206,Basavanagudi,Quick Bites,450
Kadamba Classic,False,False,3.6,16,Mysore Road,Quick Bites,300
RS Shiv Sagar,False,False,3.7,217,Basavanagudi,Casual Dining,450
Kholi Mane,False,False,3.6,46,Basavanagudi,Quick Bites,450
Harshi Super Sandwich,False,False,3.8,148,Basavanagudi,Quick Bites,150
Cake Yard,False,False,3.4,30,Basavanagudi,Dessert Parlor,250
Rosewood International Hotel - Bar & Restaurant,False,False,3.6,8,Mysore Road,Casual Dining,800
Sri Udupi Veg,False,False,3.3,4,Jayanagar,Quick Bites,250
Cake Art,False,False,3.0,15,Basavanagudi,"Bakery, Quick Bites",400
Potato House,True,False,3.4,9,Uttarahalli,Quick Bites,200
Matru Sagar,True,False,3.7,31,Mysore Road,Quick Bites,300
Ugadi,True,False,2.9,177,Jayanagar,Casual Dining,700
Sri Krishna Sweets,True,False,3.7,22,Basavanagudi,Sweet Shop,250
In Time Cane Juice,True,False,3.0,10,Kumaraswamy Layout,Beverage Shop,100
Subway,True,False,3.7,136,Banashankari,Quick Bites,600
Daal Roti,True,False,2.9,35,Kumaraswamy Layout,Quick Bites,250
The Lassi Park,True,False,4.1,185,Jayanagar,Quick Bites,200
Cafe Coffee Day,True,False,3.2,17,Jayanagar,Cafe,900
A2B - Adyar Ananda Bhavan,True,False,3.8,155,Mysore Road,Casual Dining,400
Srikrishna Bhavan,True,False,3.8,42,Banashankari,Quick Bites,300
Timepass Dinner,True,False,3.8,286,Basavanagudi,Casual Dining,600
Green Gardenia,True,False,3.8,160,Banashankari,Casual Dining,700
J Spice,True,False,3.8,59,Banashankari,Casual Dining,750
Karavali Family Restaurant,True,False,3.0,90,Jayanagar,Casual Dining,500
Karavali Lunch Home,True,False,3.7,51,Kumaraswamy Layout,Quick Bites,350
Hatti Kaapi,True,False,4.0,89,Jayanagar,Quick Bites,200
Kolkata Kathi Roll's,True,False,3.6,18,Banashankari,Quick Bites,250
Upahara Darshini,True,False,3.9,40,Basavanagudi,Casual Dining,600
